Institution,Category - ALL,Category - Scheduled Caste(SC),Category - Scheduled Tribe (ST),Category - Other Backward Classes (OBC),Category - Person With Disability (PWD),Category - Muslim,Category - Other Minority Communities,Category - Foreign Students
SRINIVASA POLYTECHNIC COLLEGE KALAMAVUR (Id: S-3048),0.14,0.13,0.33,0.14,NA,0.11,0.14,NA
"SRINIVASA SCHOOL OF NURSING, VANASTHALIPURAM, HYDERABAD (Id: S-13239)",NA,NA,NA,NA,NA,NA,NA,NA
SRINIVASA SUBBARAYA POLYTECHNIC COLLEGE ANNAIKARAN CHATARAM (Id: S-3049),0.29,0.32,0.2,0.29,0,0.38,NA,NA
SRI N JAYANNA SCHOOL OF NURSING CHITRADURGA (Id: S-4326),3.93,3.33,NA,1.6,NA,NA,NA,NA
SRINMATH POLYTECHNIC MYSORE (Id: S-1454),0.21,0.26,0.17,0.17,NA,0.1,NA,NA
"SRI NURUNDESHWAR DED COLLEGE INDI, BIJAPUR (Id: S-12303)",2,1.67,NA,2.33,NA,NA,NA,NA
SRI PADMAM POLYTECHNIC COLLEGE PACHAL (Id: S-3019),0,0,0,0,NA,0,NA,NA
"SRI PADMARAJ D.P.ED COLLEGE, SINDAGI (Id: S-12582)",0.34,NA,NA,NA,NA,NA,NA,NA
SRI PADMAVATHI SCHOOL OF NURSING CHITTOOR (Id: S-3631),NA,NA,NA,NA,NA,NA,NA,NA
SRI PADMAVATHI SCHOOL OF NURSING KADAPA (Id: S-3632),NA,NA,NA,NA,NA,NA,NA,NA
SRI PADMAVATHI SCHOOL OF NURSING NELLORE (Id: S-3633),NA,NA,NA,NA,NA,NA,NA,NA
S R I POLYTECHNIC COLLEGE BIRUDUR (Id: S-2960),0.08,0.06,0,0.08,NA,NA,NA,0.33
SRI RAGAVENDHRA INSTITUTE OF TEACHER TRAINING PARAMAKUDI (Id: S-8350),NA,NA,NA,NA,NA,NA,NA,NA
"SRI RAGAVENDRA INSTITUTE OF D ED, CHIT (Id: S-13707)",NA,NA,NA,NA,NA,NA,NA,NA
SRI RAGAVENDRA POLYTECHNIC COLLEGE KOMARAPALAYAM (Id: S-3020),0.06,0.06,NA,0.06,0.06,0,0.12,NA
"Sri Raghavendra College of Diploma in Education, No.2-5-104, Sathram Street, Allagadda, Kurnool District-518543 (Id: S-13407)",1.34,3.2,0.12,1.32,NA,NA,NA,NA
"Sri Raghavendra College of Diploma in Education, Yemmiganur, Kurnool District. (Id: S-13412)",1.19,0.71,0.33,1.57,NA,NA,NA,NA
"Sri Raghavendra College of Education (D.Ed.,) Bhimavaram, W.G. District. (Id: S-13346)",1.75,1.1,0.43,3.8,NA,0,NA,NA
SRI RAGHAVENDRA INSTITUTE OF D ED SEED EDUN SOCIETY CHITRADURG (Id: S-6806),6,NA,NA,NA,NA,NA,NA,NA
SRI RAGHAVENDRA INSTITUTE OF NURSING TUMKUR (Id: S-4328),3.91,NA,NA,NA,NA,NA,NA,NA
SRI RAGHAVENDRA INSTITUTE OF TEACHER EDUCATION K. SINGARAKOTTAI (Id: S-8351),25,NA,NA,18,NA,NA,NA,NA
SRI RAGHAVENDRA SCHOOL OF NURSING CHITRADURGA (Id: S-4329),0.68,4.29,9,2,NA,NA,NA,NA
"SRI RAGHAVENDRA SCHOOL OF NURSING, NAGAPATTINAM (Id: S-12900)",NA,NA,NA,NA,NA,NA,NA,NA
SRI RAGHAVENDRA TEACHER TRAINING INSTITUTE (Id: S-8352),11,7,NA,NA,NA,NA,NA,NA
"Sri Raja Suraneni Venkata Papaiah Rao College of Education (D.Ed) 23-3-134, Annapurnadevi Street, Gandhinagar, Vijayawada, Krishna District (Id: S-13357)",5,19,3,3.08,NA,NA,NA,NA
SRI RAJIV GANDHI POLYTECHNIC COLLEGE MYLADI (Id: S-3021),0.11,0.07,NA,0.1,0,0,0.13,NA
"SRI RAMA BHADRA SCHOOL OF NURSING, BAPATLA, GUNTUR (Id: S-13061)",NA,NA,NA,NA,NA,NA,NA,NA
SRI RAMACHANDIRA TEACHER TRAINING INSTITUTE VEDARANIAM (Id: S-8359),7.6,13.4,NA,1.8,NA,NA,NA,NA
"SRI RAMACHANDRA D P ED COLLEGE SANTHEMARAHALLI, CHAMRAJNAGAR (Id: S-12491)",0.44,0.3,1,2,NA,NA,NA,NA
"SRI RAMACHANDRA POLYTECHNIC COLLEGE, DHARMAPURI (Id: S-3023)",0.02,0.05,0,0,NA,0,NA,NA
SRI RAMACHANDRA TTI CHAMARAJANAGAR (Id: S-6809),2.05,2.09,0.4,4.33,NA,NA,NA,NA
SRI RAMAJAYAM TEACHER TRAINING INSTITUTE PAPAMBADI POLUR (Id: S-8360),26,8,NA,NA,NA,NA,NA,NA
SRI RAMAKRISHNA ASRAHAM CHARITABLE HOSP. THIRUVANANTHAPURAM (Id: S-4612),NA,NA,NA,NA,NA,NA,NA,NA
"SRI RAMAKRISHNA DED COLLEGE, SHIMOGA (Id: S-12435)",38,14,NA,NA,NA,NA,NA,NA
SRI RAMAKRISHNA MISSION VIDYALAYA GANDHI T.T.I. PERIANAICKENPALAYAM (Id: S-8361),0,NA,NA,0,NA,NA,NA,NA
SRI RAMAKRISHNA MISSION VIDYALAYA POLY. COLLEGE GUDALUR (Id: S-3024),0,0,0,0,NA,0,0,NA
SRI RAMAKRISHNA POLYTECHNIC COLLEGE -IDIGARAI PANCHAYAT (Id: S-3025),0.11,0.2,NA,0.1,NA,NA,NA,NA
SRI RAMAKRISHNA POLYTECHNIC COLLEGE KOOTHAMBAKKAM (Id: S-3026),0.04,0.14,0,0.23,NA,NA,NA,NA
SRI RAMAKRISHNA POLYTECHNIC COLLEGE -SIRUVACHIUR (Id: S-3027),0.13,0.18,0,0.12,NA,0.11,NA,NA
SRI RAMAKRISHNA SCHOOL OF NURSING CHICKMAGALUR (Id: S-4330),23,11,NA,NA,NA,NA,NA,NA
SRI RAMAKRISHNA T.T.I INSTITUTE BANGALORE (Id: S-6810),NA,NA,NA,NA,NA,NA,NA,NA
SRI RAMANA INSTITUTE OF POLYTECHNIC COLLEGE MOOLAIKARAIPATTI (Id: S-3028),0.04,NA,NA,NA,NA,0,0,NA
SRI RAMANA MAHARSHI SCHOOL OF NURSING TUMKUR (Id: S-4331),2.17,NA,NA,NA,NA,NA,NA,NA
"SRI RAM INSTITUTE OF TEACHER EDUCATION, DWARKA (Id: S-13821)",4,2.4,1,4,NA,NA,1,NA
SRI RAM NALLAMANI YADAVA TEACHER TRAINING INSTITUTE KANJARAMPETTAI (Id: S-8355),NA,NA,NA,NA,NA,NA,NA,NA
SRI RAM POLYTECHNIC COLLEGE PERUMALPATTU (Id: S-3022),0.05,0.08,0.14,0.03,NA,0,0.04,NA
SRI RAM TEACHER TRAINING INSTITUTE VELIPPALAYAM (Id: S-8357),NA,NA,NA,NA,NA,NA,NA,NA
SRI RAMUSUNASHREE SCHOOL OF NURSING BANGALORE (Id: S-4332),1.79,NA,NA,0,NA,NA,NA,NA
"SRI RANGABOOPATHY TEACHER TRAINING INSTITUTE, VILLUPURAM (Id: S-13930)",0.82,0.91,NA,0.73,NA,NA,NA,NA
SRI RANGANATHAR INSTITUTE OF POLYTECHNIC COLLEGE ATHIPALAYAM (Id: S-3029),0.1,0.17,NA,0.09,NA,0.07,NA,NA
SRI RANGANATHASWAMY EDUCATION SOCIETY CHITRADURG (Id: S-6812),8,8,10,NA,NA,NA,NA,NA
"SRI RANGANATH DED COLLEGE HIRIYUR, CHITRADURGA (Id: S-12287)",1.78,2.2,NA,1.23,NA,NA,NA,NA
SRI RENGAA TEACHERS TRAINING INSTITUTE MANALMEDU TITTAGUDI (Id: S-8368),2.69,1.83,NA,13,NA,NA,NA,NA
SRI RENGA POLYTECHNIC COLLEGE MANNACHANALLUR (Id: S-3030),0.02,0.07,NA,0.02,NA,NA,NA,NA
SRI RENGESWARAR POLYTECHNIC COLLEGE POTTIREDDIPATTI (Id: S-3031),0.08,0.08,0,0.09,NA,0.08,NA,NA
SRI RENGESWARAR TEACHER TRAINING INSTITUTE POTTI RETTI PATTI (Id: S-8369),0,0,NA,0,NA,NA,NA,NA
SRI RENUGAMBAL POLYTECHNIC COLLEGE ETTIVADI (Id: S-3032),0.1,0.07,0,0.1,NA,0,NA,NA
SRI RENUGAMBAL TEACHER TRAINING INSTITUTE POLUR (Id: S-8370),NA,NA,NA,NA,NA,NA,NA,NA
SRI RENUGAMBAL WOMENS TEACHER TRAINING INSTITUTE POLUR (Id: S-8371),NA,NA,NA,NA,NA,NA,NA,NA
"SRI RENUKA COLLEGE OF DIPLOMA EDUCATION, BELLARY (Id: S-12007)",0.44,0,0,0.67,NA,NA,NA,NA
"SRI RENUKA INTERGRATED POLYTECHNIC, HAGRIBOMMANAHLLI (Id: S-10994)",0.05,0.05,0,0.05,NA,NA,NA,NA
"SRI REVAN SIDDESHWAR DED COLLEGE KONDLAHALLI, CHITRADURGA (Id: S-12285)",1.83,1.5,2.33,NA,NA,NA,NA,NA
SRI. R. PONNUSAMY NAIDU T.T.I SIVAKASI (Id: S-8409),NA,NA,NA,NA,NA,NA,NA,NA
"SRI RS MALWAD COLLEGE OF PHYSICAL EDUCATION, BAGALKOT (Id: S-12751)",0.29,0.5,NA,NA,NA,NA,NA,NA
SRI. RUDRAMUNI SWAMIJI RURAL POLYTECHNIC (Id: S-10988),0.17,0.15,0.17,0.18,NA,NA,NA,NA
"Sri Sadguru Bandayappa Swamy D.Ed. College, C/o.Basalingappa Mutt, Bichkunda village and mandal, Nizamabad-503306 (Id: S-13452)",2.83,1.5,1,3.86,0,NA,NA,NA
SRI SADGURU KABEERANANDA SWAMY SCHOOL OF NURSING CHITRADURGA (Id: S-4334),8.32,18.33,NA,NA,NA,NA,NA,NA
SRI SADGURU PARAMA HAMSA VIDYAVARENYA YOGESHWARA PARAMARTHA VISHWASTHA DHARMIKA TRUST DAVANAGERE (Id: S-6813),3.4,2,5,4,NA,NA,NA,NA
"SRI SADGURU SIDDHAROODH SWAMI INSTITUTE OF DIPLOMA IN EDUCATION, BIDAR (Id: S-6668)",12,18,11,NA,NA,NA,NA,NA
Sri Sai Balaji D.Ed Institution (Id: S-14423),0.88,0.22,2,1.08,NA,NA,NA,NA
SRI SAI COLLEGE OF NURSING ALIGARH (Id: S-5494),3.76,4,1,3.45,NA,NA,0.78,NA
SRI SAIRAM POLYTECHNIC COLLEGE POONTHANDALAM (Id: S-3034),0.08,NA,NA,NA,NA,NA,NA,NA
SRI SAI SCHOOL OF NURSING BANGALORE (Id: S-4335),3.1,6.43,4.33,1.29,NA,NA,NA,NA
SRI SAI SCHOOL OF NURSING GUNTUR (Id: S-3638),NA,NA,NA,NA,NA,NA,NA,NA
SRI SAI SCHOOL OF NURSING PRAKASAM (Id: S-3639),12.54,21.6,5,5,NA,0,NA,NA
SRI SAKTHI POLYTECHNIC COLLEGE CHE-NACHIPATTU (Id: S-3035),0.05,NA,NA,NA,NA,0.1,0,NA
SRI SANGAMESHWARA GOVERNAMENT POLYTECHNIC ZAHEERABAD (Id: S-646),0.14,0.16,0.03,0.14,NA,0.04,NA,NA
"SRI SANGAMESHWARA V.KALMATH D.ED COLLEGE, MANVI (Id: S-12679)",5.67,11,1.5,6.67,NA,NA,NA,NA
SRI. SANJEEV POLYTECHNIC LINGASAGUR (Id: S-10972),0.02,0.03,0,0.02,NA,0.02,NA,NA
SRI SANTHOSHI POLYTECHNIC COLLEGE PAIYAMBADI (Id: S-3036),0.05,0.04,0.04,0.09,NA,NA,NA,NA
SRI SAPTHAGIRI SRINIVAS T.T.I.(D.ED) KOLAR (Id: S-6815),0.56,0.38,0.4,0.68,NA,NA,NA,NA
SRI SARADHA TEACHER TRAINING INSTITUTE FOR WOMAN SIRUVACHUR (Id: S-8376),NA,NA,NA,NA,NA,NA,NA,NA
SRI SARASWATHI TEACHER TRAINING INSTITUTE SAMAYAPURAM (Id: S-8377),NA,NA,NA,NA,NA,NA,NA,NA
"SRI SATISH CHANDRA PANDEY MEMORIAL HOSPITAL, GONDA (Id: S-14152)",2.65,4.38,1,4.19,NA,NA,1,NA
Sri Satya Sai Elementary Teacher Training College (Id: S-14421),1.38,0.8,0,1.82,NA,0.5,NA,NA
SRI SHAKTHI TEACHER TRAINING INSTITUTE RAILWAY STATION ROAD (Id: S-8382),5,NA,NA,NA,NA,NA,NA,NA
"SRI SHAMBULINGESHWARA D ED COLLEGE, PANDAVAPURA (Id: S-12499)",1,NA,NA,NA,NA,NA,NA,NA
"SRI SHANTESHWAR DED COLLEGE INDI, BIJAPUR (Id: S-12306)",2.64,2,NA,1.67,NA,NA,NA,NA
SRI SHANTHINI SCHOOL OF NURSING BANGALORE (Id: S-4336),1.55,NA,NA,NA,NA,NA,NA,NA
SRI SHARANABASAVESWARA TEACHER TRAINING INSTITUTE BELLARY (Id: S-6817),0.97,1,1.6,0.96,NA,NA,NA,NA
SRI SHIRDI SAI ELEMENTARY TCHR. EDN. INST. VIZIANAGARAM (Id: S-5660),1.7,0.6,0.5,2.36,NA,NA,NA,NA
"SRI SHIVAKUMARASWAMI DED COLLEGE SANEHALLI, CHITRADURGA (Id: S-12286)",4.33,3,NA,3.5,NA,NA,NA,NA
SRI SHIVALINGESWARA VIDYAPEETHA HAVERI (Id: S-6822),2.27,2.5,2,NA,NA,NA,NA,NA
SRI SHIVAYOGI MUNISWARA SWAMY T.T.C MANDYA (Id: S-6824),NA,NA,NA,NA,NA,NA,NA,NA
SRI SIDDAGANGA TEACHER TRAINING INSTITUTE TUMKUR (Id: S-6825),18,NA,NA,NA,NA,NA,NA,NA
"SRI SIDDALINGESHWARA TEACHER TRAINING INSTITUTE SHAHPUR, GULBARGA (Id: S-6826)",2.38,1.54,0.6,11.67,NA,NA,NA,NA
"SRI SIDDHARTHA DED COLLEGE HUCHCHA GONDANAHALLI, TUMKUR (Id: S-12215)",1.68,NA,5,0.94,NA,NA,NA,NA
"SRI SIDDHARTHA POLYTECHNIC, BANGARPET (Id: S-10982)",0.18,0.29,0.14,0.11,0,0,NA,NA
SRI SIDDHARTHA SCHOOL OF NURSING AGALKOTE CAMPUS B H ROAD TUMKUR (Id: S-4337),NA,NA,NA,NA,NA,NA,NA,NA
SRI SIDDHARTHA SCHOOL OF NURSING SIDDHARTHA NAGAR B H ROAD TUMKUR (Id: S-4338),13,NA,NA,NA,NA,NA,NA,NA
SRI SITHESWARRAR TEACHER TRAINING INSTITUTE ARCOT (Id: S-8383),6.29,6,NA,6.4,0,0,NA,NA
SRI SOWDAMBIKA POLYTECHNIC COLLEGE ARUPPUKOTTAI (Id: S-3037),0.05,0.04,NA,0.05,NA,0,0,NA
SRI S RAMASAMY NAIDU MEMORIAL POLYTECHNIC COLLEGE E MUTHULINGAPURAM (Id: S-3033),0.04,0.08,0,0.03,NA,NA,NA,NA
SRI SRI SHANTHA MALLASWAMY EDUCATION SOCIETY COORG (Id: S-6828),4,NA,NA,NA,NA,NA,0,NA
"SRI SS DED COLLEGE LONI BK, BIJAPUR (Id: S-12301)",2,0.33,NA,1.38,NA,NA,NA,NA
SRI SUBABHARATHI POLYTECHNIC COLLEGE KALLALANGUDI (Id: S-3038),0.01,0.03,NA,0.01,NA,NA,NA,NA
SRI SUBRAMANIYAA TEACHER TRAINNING INSTITUTE KULITHALAI (Id: S-8385),NA,NA,NA,NA,NA,NA,NA,NA
Sri Surya D.El.Ed College (Id: S-14186),2.12,1,1.33,3.12,NA,NA,NA,NA
SRI SURYA TEACHER TRAINING INSTITUTE KOLAR (Id: S-6829),NA,NA,NA,NA,NA,NA,NA,NA
SRI SWAMY TEACHER TRAINING INSTITUTE FOR WOMEN AYOTHIYARATTANAM (Id: S-8386),NA,NA,NA,NA,NA,NA,NA,NA
"Sri Swamy Vivekananda College of Elementary Teacher Education, Jawahar Nagar Road, Sriharipuram, Malkapuram, Visakhapatnam District-530011 (Id: S-13332)",1.94,1.33,0.5,1.83,NA,NA,NA,NA
"SRI TALUKA SKIKSHANA P MANDALI DED COLLEGE SINDAGI, BIJAPUR (Id: S-12308)",2.15,0.89,NA,5,NA,NA,NA,NA
SRI TARALABALU JAGADGURU TEACHERS TRAINING CENTRE CHITRADURGA CHITRADURG (Id: S-6830),4.2,2.5,NA,NA,NA,NA,NA,NA
SRI TARALABALU JAGADGURU TEACHERS TRAINING CENTRE HAVERI (Id: S-6831),2.14,1.5,4,NA,NA,NA,NA,NA
SRI THIAGARAJAR POLYTECHNIC COLLEGE VALAPPADY (Id: S-3039),0.13,0.24,0,0.08,NA,NA,NA,NA
SRI THIYAGARAJA INSTITUTE OF TEACHER EDUCATION THIRUVARUR (Id: S-8387),8.33,5,NA,NA,NA,NA,NA,NA
"SRI TUNGABHADRA DED COLLEGE, TARIKERE (Id: S-12420)",13,3,NA,NA,NA,NA,NA,NA
SRI UMAMAHESWARA SCHOOL OF NURSING KURNOOL- (Id: S-3642),NA,NA,NA,NA,NA,NA,NA,NA
SRI VARADHAR TEACHER TRAINING INSTITUTE NERIKUPPAM (Id: S-8388),0.5,NA,NA,0.5,NA,NA,NA,NA
SRI VARALAKSHMI POLYTECHNIC MACHILIPATNAM (Id: S-648),0.09,0.05,0,0.08,NA,0.1,NA,NA
SRI VASAVI VIDYA SAMSTHE UNIT OF ARYA VYSYA MANDALI KOLAR (Id: S-6836),0.48,0.23,2.5,4,NA,NA,NA,NA
"SRI VATSA POLYTECHNIC COLLEGE E., VIRUDHUNAGAR (Id: S-12792)",0,0.01,NA,NA,NA,NA,NA,NA
SRI VEERABHADRESHWARA SC/ST VIDYA SHIMOGA (Id: S-6837),1.44,0.4,NA,1.75,NA,NA,NA,NA
"SRI VEERABHADRESHWAR DED COLLEGE TAMBA, BIJAPUR (Id: S-12307)",4,NA,NA,6,NA,NA,NA,NA
"SRI VEERABHADRESHWAR EDUCATION TRUSTS D ED INSTITUTE, HUMNABAD (Id: S-6851)",31.33,15,NA,52,NA,6,NA,NA
SRI VEERASHIVA SAMAJ T.T.I RAICHUR (Id: S-6838),9.5,1.75,2.5,NA,NA,NA,NA,NA
"SRI VEERESHWAR DED COLLEGE NALATWAD, BIJAPUR (Id: S-12309)",5.75,5,NA,5.67,NA,NA,NA,NA
SRI VENGATESWARAA POLYTECHNIC COLLEGE VENNANDUR (Id: S-3040),0.11,0.1,0,0.12,NA,NA,NA,NA
SRI VENKATACHALAPATHY POLYTECHNIC COLLEGE VADAKUCHIPALAYAM (Id: S-3041),0.05,0.05,NA,0.05,NA,0,0,NA
SRI VENKATA PADMAVATHI SCHOOL OF NURSING CHITTOOR (Id: S-3643),NA,NA,NA,NA,NA,NA,NA,NA
SRI VENKATA RAJU INSTITUTE OF TECH BANGALORE (Id: S-1449),0.09,0.17,0,0.21,NA,0.43,0,NA
SRI VENKATARAMANA SCHOOL OF NURSING PRAKASAM (Id: S-3645),NA,NA,NA,NA,NA,NA,NA,NA
SRI VENKATA SAI SCHOOL OF NURSING MAHBOOBNAGAR (Id: S-3644),NA,NA,NA,NA,NA,NA,NA,NA
SRI VENKATESHVARA TEACHER TRAINING INSTITUTE TIRUTTANI (Id: S-8393),2.38,1.69,NA,2.6,0,NA,NA,NA
SRI VENKATESHWARAA POLYTECHNIC COLLEGE PAPPINAICKANAHALLI (Id: S-3042),0.01,NA,NA,NA,NA,NA,NA,NA
"Sri Venkateshwara College of Elementary Teacher Education, Payakaraopeta, Visakhapatnam. (Id: S-13330)",1.58,1,0,1.67,NA,NA,NA,NA
SRI VENKATESHWARA POLYTECHNIC BANGALORE (Id: S-1450),0.34,0.36,0.67,0.34,NA,0,0,NA
SRI VENKATESHWARA SCHOOL OF NURSING TUMKUR (Id: S-4341),3.88,4.8,3.2,5.11,NA,NA,NA,NA
SRI VENKATESHWARA TEACHER TRAINING INSTITUTE WALAJABAD (Id: S-8394),2.25,2,NA,NA,NA,NA,NA,NA
SRI VENKATESHWARA VIDHYALAYAA TEACHER TRAINING INSTITUTE GOBI (Id: S-8396),29,NA,NA,18,NA,NA,NA,NA
SRI VENKATESVARA POLYTECHNIC COLLEGE THIRUMALAIRAYASAMUTHIRAM (Id: S-3043),0,0,NA,0,NA,0,NA,NA
"Sri Venkateswara D.Ed. College, S.No.1008/3, Near H.No.4/139, Kammavaripalli Gramam, Rangasamudram (Vill), Porumamilla (M), Kadapa District - 516193 (Id: S-13392)",2.4,0.8,1,4,NA,5,NA,NA
SRI VENKATESWARA INSTITUTE OF NURSING SCIENCES BANGALORE URBAN (Id: S-4342),NA,NA,NA,NA,NA,NA,NA,NA
SRI VENKATESWARA POLYTECHNIC COLLEGE ADUKKAMPARAI (Id: S-3044),0.16,0.19,0,0.15,NA,0,NA,NA
"SRI VENKATESWARA POLYTECHNIC COLLEGE, KAZHUDUR (Id: S-13775)",0.1,0.07,NA,0.12,NA,NA,NA,NA
SRI VENKATESWARA POLYTECHNIC COLLEGE PARASUR (Id: S-3045),0.03,0.02,NA,NA,NA,NA,NA,NA
SRI VENKATESWARA SCHOOL OF NURSING BANGALORE URBAN (Id: S-4343),38,NA,NA,NA,NA,NA,NA,NA
"SRI VENKATESWARA SCHOOL OF NURSING, MURUKAMBATTU, CHITTOOR (Id: S-13143)",NA,NA,NA,NA,NA,NA,NA,NA
SRI VENKATESWARA SCHOOL OF NURSING VISAKHAPATNAM (Id: S-3648),NA,NA,NA,NA,NA,NA,NA,NA
SRI VENKATESWARA TEACHER TRAINING INSTITUTE TITTAGUDI (Id: S-8397),13,5,NA,NA,NA,NA,NA,NA
SRI VENU VIDYA PEETIA TRUST KOLAR (Id: S-6843),2.4,1.67,NA,NA,NA,NA,NA,NA
SRI VIDHYA LAKSHMI TEACHER EDUCATION INSTITUTE GUDIYATTAM (Id: S-8399),NA,NA,NA,NA,NA,NA,NA,NA
SRI VIDYA MANDIR TEACHER TRAINING INSTITUTE UTHANGARAI (Id: S-8402),NA,NA,NA,NA,NA,NA,NA,NA
SRI VIDYANIKETHAN POLYTECHNIC HASSAN (Id: S-1451),0.33,0.08,0.33,0.35,NA,NA,NA,NA
SRI.VIDYA TEACHER TRAINING INSTITUTE P.KUMARALINGAPURAM (Id: S-8415),10,7,NA,11.67,NA,NA,NA,NA
SRI VIGNESH POLYTECHNIC COLLEGE KOOTHUR (Id: S-3046),0.05,0.04,0.44,0.06,NA,0,0.02,NA
SRI VIGNESHWARA VIDYAVARDHAKA SANGHA GADAG (Id: S-6844),3,1.33,4,6,NA,NA,NA,NA
SRI VIJAY VIDYALAYA TEACHER TRAINING INSTITUTE GANDHI NAGAR (Id: S-8404),18,NA,NA,17,NA,NA,NA,NA
SRI VINAYAGA POLYTECHNIC COLLEGE PUDHUMOTTUR (Id: S-3047),0.06,0.05,0,0.06,NA,NA,NA,NA
SRI VINAYAKA POLYTECHNICKORAMANDAL (Id: S-1452),0.29,0.41,0,0,NA,0,0,NA
"SRI VINAYAKA SCHOOL OF NURSING, KGF (Id: S-12860)",1.11,1,NA,NA,NA,NA,NA,NA
SRI VIRUTHAMBIGAI SCHOOL OF NURSING CUDDALORE (Id: S-5347),NA,NA,NA,NA,NA,NA,NA,NA
SRI VIRUTHAMBIGAI TEACHER TRAINING INSTITUTE VRIDDHACHALA (Id: S-8406),3.06,1.8,0.5,6.2,NA,NA,NA,NA
SRI VISHNU SCHOOL OF NURSING BANGALORE RURAL (Id: S-4345),0.54,NA,NA,NA,NA,NA,1.5,NA
"SRI VISHWARADHYA D.ED COLLEGE YADGIRI, GULBARGA (Id: S-12077)",2.38,NA,2,1.57,NA,NA,NA,NA
SRI YEDIYUR SIDDALINGESWARA TCHR GADAG (Id: S-6846),2.29,1.5,2.5,2.19,NA,NA,NA,NA
SRI Y V S & B R M SCHOOL OF NURSING EAST GODAVARI (Id: S-3649),NA,NA,NA,NA,NA,NA,NA,NA
SRI YVS & SRI BRM POLYTECHNIC (Id: S-650),0.05,0.05,0.08,0.07,NA,0,NA,NA
S R M INSTITUTE OF MEDICAL SCIENCES & TECHNOLOGY KARIMNAGAR (Id: S-3596),NA,NA,NA,NA,NA,NA,NA,NA
S.R.M. POLYTECHNIC COLLEGE KATTANKULATHUR (Id: S-2963),0.08,NA,NA,NA,NA,NA,NA,NA
SRM SCHOOL OF TEACHER EDUCATION AND RESEARCH KATTANKULATHUR (Id: S-8420),NA,NA,NA,NA,NA,NA,NA,NA
"SR PATIL DED COLLEGE NAREGAL RON TALUKA, GADAG (Id: S-12254)",6,1.5,7,14,NA,NA,NA,NA
"Sr Sai Teacher Training Institute, Sai vihar, Vontimitta (M) Kadapa (Id: S-13395)",0.77,1.07,0.33,1.17,NA,0,NA,NA
"SRS DED COLLEGE BAGEPALLI, CHIKKA BALLAPUR (Id: S-12272)",2.86,1.25,2.33,NA,NA,NA,NA,NA
"S. R. S. GOVT. POLYTECHNIC COLLEGE FOR GIRLS, LUDHIANA (Id: S-2499)",NA,NA,NA,NA,NA,NA,NA,NA
S.S.B. REGIONAL INSTT. SC. & TECH. (POLY) CHIRADA (Id: S-2366),0.08,NA,NA,NA,NA,NA,NA,NA
"SS COLLEGE OF PHYSICAL EDUCATION, BIJAPUR (Id: S-12579)",NA,NA,NA,NA,NA,NA,NA,NA
S.S. COLLEGE OF POLYTECHNIC VPO NEWAL (Id: S-1049),0.05,0.08,NA,0.02,NA,NA,NA,NA
S S G POLYTECHNIC JEVARGI (Id: S-1410),0.06,0.1,0,0.05,NA,0.03,0.07,NA
S S INSTITUTE OF NURSING SCIENCES DAVANGERE (Id: S-4244),2.26,2.62,1.57,2.5,NA,NA,NA,NA
SSM INSTITUTE OF TEXTILE TECHNOLOGY AND POLYTECHNIC COLLEGE KOMARAPALAYAM - AMANI (Id: S-3051),0.2,0.23,0,0.19,NA,0.62,0.13,NA
SSR POLYTECHNIC COLLEGE (Id: S-3052),0.08,0.09,NA,0.08,NA,NA,NA,NA
S.S.TEACHER TRAINING INSTITUTE THIRUKKALUKUNDRAM (Id: S-8223),NA,NA,NA,NA,NA,NA,NA,NA
"SS TTI LACHYAN, BIJAPUR (Id: S-12299)",3.43,3,NA,3,NA,NA,NA,NA
"S. SUKHJINDER SINGH POLYTECHNIC & PHARMACY COLLEGE, GURDASPUR (Id: S-2500)",0.1,0.11,0,0.07,NA,NA,NA,NA
S. S. V. S. SANSTHA ADHYAPAK VIDYALAYA BEED VIDYANAR EAST BEED BEED (Id: S-9803),1.39,2.5,1,1.45,NA,NA,NA,NA
S. T. ADHYAPIKA VIDYAMANDIR MALVAN SINDHUDURG (Id: S-9804),1.96,2.5,0,4.67,NA,NA,NA,NA
ST.AGNES TEACHERS TRAINING INSTITUTE HASSAN (Id: S-6868),NA,NA,NA,NA,NA,NA,NA,NA
ST ALOYSIUS JR. COLLEGE OF EDUCATION PAPDY VASAI (Id: S-10115),3.32,3.67,0.38,14,NA,NA,NA,NA
STANFORD INSTITUTE OF ELEMENTARY TEACHER EDN. NALGONDA (Id: S-5670),1.13,0.79,0.44,1.6,NA,2,NA,NA
ST. ANGELAS TEACHER TRAINING INSTITUTE PONAMALAIPATTI (Id: S-8433),NA,NA,NA,NA,NA,NA,NA,NA
"ST. ANNES D.ED. COLLEGE, ALNAVAR (Id: S-12624)",2.17,0.67,NA,NA,NA,NA,NA,NA
ST. ANNES TEACHER TRAINING INSTITUTE FOR WOMEN TUTICORIN (Id: S-8434),NA,NA,NA,NA,NA,NA,NA,NA
ST.ANNES TEACHER TRAINING INSTITUTE MADAVARAM (Id: S-8454),NA,NA,NA,NA,NA,NA,NA,NA
ST ANN'S HOSPITAL SCHOOL OF NURSING KRISHNA (Id: S-3652),NA,NA,NA,NA,NA,NA,NA,NA
ST ANN' S SCHOOL OF NURSING DAKSHINA KANNADA (Id: S-4346),5,4,NA,4.35,NA,NA,4.75,NA
